trade_id,trader_id,trade_date,instrument_type,instrument_symbol,buy_sell_indicator,trade_volume,trade_price,trade_value_usd,counterparty,market,trade_currency,execution_platform,profit_loss_usd,settlement_status,region,value_domain,data_segment,data_domain
TRD100011,TRDR8939,2025-07-23 08:48:50,Bond,BON603,Buy,54399,1477.96,80399546.04,Atkinson-Hall,SSE,AUD,Algorithmic,47367.44,Failed,Europe,Enterprise,Trade Transaction,Trade Data
TRD100012,TRDR4677,2025-06-07 17:29:12,Futures,FUT127,Buy,65982,1841.87,121530266.34,Jones-Murphy,HKEX,CNY,Manual,10309.48,Failed,North America,Enterprise,Trade Transaction,Trade Data
TRD100013,TRDR2255,2025-02-12 09:08:49,ETF,ETF618,Sell,69074,1955.32,135061773.68,Gardner Ltd,NYSE,USD,Algorithmic,-39624.46,Settled,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100014,TRDR9489,2024-12-17 07:44:07,Options,OPT420,Buy,61373,970.25,59547153.25,Williams Ltd,NASDAQ,CNY,Algorithmic,73943.51,Settled,North America,Enterprise,Trade Transaction,Trade Data
TRD100015,TRDR2559,2025-05-06 12:26:14,Derivative,DER114,Sell,34776,1768.06,61486054.56,Jones-Murphy,JPX,JPY,Manual,-46051.75,Failed,Europe,Enterprise,Trade Transaction,Trade Data
TRD100016,TRDR6560,2025-06-30 09:43:53,Options,OPT546,Buy,64586,1225.48,79148851.28,Abbott Inc,Euronext,CNY,Algorithmic,73138.09,Failed,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100017,TRDR5809,2025-06-08 14:51:50,Commodity,COM325,Buy,72117,428.08,30871845.36,Martinez Ltd,Euronext,INR,Dark Pool,-7390.68,Cancelled,South America,Enterprise,Trade Transaction,Trade Data
TRD100018,TRDR2438,2025-05-02 06:58:04,Bond,BON619,Sell,73315,1363.94,99997261.1,Pennington-Estrada,SSE,GBP,Algorithmic,5424.32,Failed,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100019,TRDR9434,2025-07-26 04:25:48,Derivative,DER777,Sell,86601,1790.12,155026182.12,Shepherd LLC,NYSE,GBP,Dark Pool,55402.17,Pending,Europe,Enterprise,Trade Transaction,Trade Data
TRD100020,TRDR4372,2025-05-25 21:18:13,FX,FX937,Sell,2489,1007.24,2507020.36,Cross PLC,JPX,GBP,Dark Pool,-2536.02,Failed,South America,Enterprise,Trade Transaction,Trade Data
TRD100021,TRDR6609,2025-02-12 17:03:42,Derivative,DER805,Buy,98655,434.1,42826135.5,Mclean Group,NYSE,USD,Manual,55655.88,Pending,Europe,Enterprise,Trade Transaction,Trade Data
TRD100022,TRDR2186,2024-11-12 06:29:55,FX,FX781,Sell,77240,77.99,6023947.6,Evans-Trevino,SSE,USD,Manual,73296.53,Cancelled,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100023,TRDR7018,2024-12-06 00:12:42,Commodity,COM406,Buy,76255,1518.1,115762715.5,"Lawrence, Martin and Ball",JPX,CNY,Manual,69245.79,Cancelled,Europe,Enterprise,Trade Transaction,Trade Data
TRD100024,TRDR8616,2025-03-02 05:29:13,Futures,FUT740,Buy,62890,172.16,10827142.4,Evans-Trevino,Euronext,GBP,Dark Pool,-22945.09,Cancelled,Europe,Enterprise,Trade Transaction,Trade Data
TRD100025,TRDR7537,2024-11-26 23:08:43,Bond,BON868,Buy,24302,1842.83,44784454.66,"Hunt, Leon and Craig",JPX,CNY,Algorithmic,-23236.12,Failed,South America,Enterprise,Trade Transaction,Trade Data
TRD100026,TRDR5848,2025-08-27 04:33:05,Commodity,COM400,Buy,91867,1866.79,171496396.93,Barber-Wilson,Euronext,INR,Dark Pool,-32755.07,Pending,North America,Enterprise,Trade Transaction,Trade Data
TRD100027,TRDR6562,2025-07-07 03:39:19,FX,FX203,Sell,27535,427.11,11760473.85,Williams Ltd,TSX,EUR,Electronic Platform,94871.53,Settled,Europe,Enterprise,Trade Transaction,Trade Data
TRD100028,TRDR9433,2025-09-15 04:49:24,Derivative,DER574,Buy,59642,471.96,28148638.32,Gutierrez-Monroe,NASDAQ,AUD,Algorithmic,-6795.89,Cancelled,Europe,Enterprise,Trade Transaction,Trade Data
TRD100029,TRDR3955,2025-01-25 00:35:58,Futures,FUT532,Buy,82002,151.62,12433143.24,Evans-Trevino,NASDAQ,AUD,Dark Pool,76639.68,Pending,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100030,TRDR8769,2024-11-24 07:52:57,ETF,ETF424,Sell,12453,1385.88,17258363.64,Holland-Berg,HKEX,GBP,Manual,-7906.82,Pending,North America,Enterprise,Trade Transaction,Trade Data
TRD100031,TRDR3803,2025-08-11 02:29:00,Commodity,COM954,Buy,32404,133.53,4326906.12,"Ayers, Barker and Hill",JPX,CNY,Algorithmic,94516.61,Pending,Europe,Enterprise,Trade Transaction,Trade Data
TRD100032,TRDR1640,2025-08-08 07:56:18,Bond,BON594,Sell,50931,662.32,33732619.92,Evans-Trevino,JPX,GBP,Algorithmic,27026.31,Cancelled,North America,Enterprise,Trade Transaction,Trade Data
TRD100033,TRDR7788,2024-11-12 09:49:04,Commodity,COM166,Buy,43931,637.68,28013920.08,West PLC,NYSE,GBP,Manual,93460.15,Settled,North America,Enterprise,Trade Transaction,Trade Data
TRD100034,TRDR9435,2025-08-30 09:49:03,FX,FX300,Sell,63299,993.66,62897684.34,Poole-Acosta,Euronext,EUR,Manual,10148.56,Failed,Europe,Enterprise,Trade Transaction,Trade Data
TRD100035,TRDR5958,2025-01-07 20:22:41,FX,FX947,Buy,75652,382.15,28910411.8,Mclean Group,LSE,EUR,Manual,52928.3,Cancelled,Europe,Enterprise,Trade Transaction,Trade Data
TRD100036,TRDR8170,2025-06-13 02:55:22,Futures,FUT693,Buy,54038,831.6,44938000.8,Solis-Price,TSX,GBP,Electronic Platform,36779.35,Settled,South America,Enterprise,Trade Transaction,Trade Data
TRD100037,TRDR5111,2025-04-18 15:03:28,Commodity,COM645,Buy,5574,1147.34,6395273.16,Frey LLC,HKEX,GBP,Dark Pool,99923.97,Pending,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100038,TRDR4617,2024-11-10 00:46:19,Bond,BON577,Buy,86065,926.05,79700493.25,Brown-Buchanan,HKEX,USD,Electronic Platform,75477.12,Pending,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100039,TRDR3489,2025-02-06 06:15:50,Options,OPT783,Sell,79775,1087.87,86784829.25,Pennington-Estrada,HKEX,CNY,Manual,46537.43,Pending,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100040,TRDR3630,2024-11-08 09:03:53,ETF,ETF323,Buy,159,772.88,122887.92,Gardner Ltd,Euronext,INR,Algorithmic,79907.39,Settled,South America,Enterprise,Trade Transaction,Trade Data
TRD100041,TRDR4839,2025-08-02 07:07:35,ETF,ETF570,Buy,32278,1704.83,55028502.74,Silva Inc,TSX,AUD,Manual,52527.37,Settled,North America,Enterprise,Trade Transaction,Trade Data
TRD100042,TRDR9290,2025-03-15 05:32:47,Derivative,DER782,Buy,48441,1394.28,67540317.48,Pennington-Estrada,NASDAQ,AUD,Algorithmic,24933.87,Pending,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100043,TRDR3995,2025-01-19 06:22:51,Derivative,DER493,Sell,36513,1728.96,63129516.48,"Hunt, Leon and Craig",LSE,AUD,Dark Pool,1637.56,Cancelled,North America,Enterprise,Trade Transaction,Trade Data
TRD100044,TRDR6274,2025-05-05 15:24:43,Commodity,COM562,Sell,12925,1359.82,17575673.5,Scott-Howard,HKEX,AUD,Algorithmic,-23496.18,Pending,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100045,TRDR7467,2024-12-09 11:09:50,Futures,FUT115,Buy,88883,11.14,990156.62,Williams Ltd,Euronext,JPY,Electronic Platform,77381.13,Pending,Europe,Enterprise,Trade Transaction,Trade Data
TRD100046,TRDR8390,2025-07-15 07:37:41,Stock,STO624,Sell,26618,1795.32,47787827.76,Pennington-Estrada,TSX,AUD,Dark Pool,-32525.27,Cancelled,Europe,Enterprise,Trade Transaction,Trade Data
TRD100047,TRDR9738,2024-10-21 14:40:27,Options,OPT188,Sell,92460,25.77,2382694.2,Holland-Berg,Euronext,CNY,Manual,-15100.9,Settled,North America,Enterprise,Trade Transaction,Trade Data
TRD100048,TRDR8025,2025-06-20 09:48:51,Commodity,COM307,Buy,35890,484.47,17387628.3,Floyd-Marshall,NASDAQ,AUD,Electronic Platform,42478.47,Settled,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100049,TRDR8290,2025-04-07 10:57:03,Derivative,DER426,Sell,57540,918.71,52862573.4,Abbott Inc,HKEX,AUD,Algorithmic,77596.24,Pending,Europe,Enterprise,Trade Transaction,Trade Data
TRD100050,TRDR4363,2025-02-01 12:13:33,Commodity,COM688,Sell,76256,1909.67,145623795.52,Young PLC,LSE,JPY,Manual,22701.45,Pending,North America,Enterprise,Trade Transaction,Trade Data
TRD100051,TRDR3390,2025-10-13 13:08:52,Commodity,COM167,Buy,63516,148.28,9418152.48,Young PLC,LSE,GBP,Dark Pool,73285.12,Pending,Europe,Enterprise,Trade Transaction,Trade Data
TRD100052,TRDR8302,2025-05-13 01:58:11,ETF,ETF884,Buy,38639,1978.37,76442238.43,"Brooks, Molina and Eaton",TSX,CNY,Dark Pool,75342.6,Pending,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100053,TRDR5771,2024-12-28 18:21:39,Futures,FUT427,Buy,95183,1916.32,182401086.56,Howell-Watson,HKEX,GBP,Dark Pool,-44187.43,Cancelled,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100054,TRDR4717,2025-09-03 21:20:01,Derivative,DER327,Buy,7566,123.45,934022.7,Stevens-Hernandez,Euronext,JPY,Electronic Platform,21823.05,Pending,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100055,TRDR6556,2025-09-19 00:19:04,FX,FX719,Buy,34437,867.8,29884428.6,Barber-Wilson,NYSE,USD,Dark Pool,19248.82,Failed,South America,Enterprise,Trade Transaction,Trade Data
TRD100056,TRDR6426,2025-10-08 08:24:50,Options,OPT324,Buy,50700,399.98,20278986.0,Rodriguez-Garcia,SSE,AUD,Algorithmic,-20351.03,Failed,North America,Enterprise,Trade Transaction,Trade Data
TRD100057,TRDR8009,2025-03-05 06:16:04,Derivative,DER483,Buy,63960,1895.01,121204839.6,Kelley LLC,LSE,AUD,Electronic Platform,72839.42,Pending,South America,Enterprise,Trade Transaction,Trade Data
TRD100058,TRDR3401,2025-02-15 23:14:29,Futures,FUT870,Sell,52490,607.56,31890824.4,"Reed, Garcia and Sanchez",NYSE,AUD,Electronic Platform,-14975.37,Pending,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100059,TRDR1626,2025-06-21 00:27:48,Derivative,DER926,Sell,94823,117.83,11172994.09,Jones-Murphy,NASDAQ,JPY,Manual,62732.19,Failed,Europe,Enterprise,Trade Transaction,Trade Data
TRD100060,TRDR5618,2024-10-18 13:58:59,Options,OPT925,Buy,70613,774.91,54718719.83,Rice-Ferguson,HKEX,EUR,Manual,36518.62,Failed,North America,Enterprise,Trade Transaction,Trade Data
TRD100061,TRDR7858,2025-10-02 23:57:38,Stock,STO943,Buy,72063,256.6,18491365.8,Miller LLC,LSE,EUR,Dark Pool,-21179.11,Failed,South America,Enterprise,Trade Transaction,Trade Data
TRD100062,TRDR1317,2025-02-17 08:09:42,Stock,STO110,Buy,28187,1636.58,46130280.46,Rice-Ferguson,NASDAQ,INR,Manual,20667.94,Pending,Europe,Enterprise,Trade Transaction,Trade Data
TRD100063,TRDR7601,2025-04-25 11:48:57,Options,OPT262,Sell,78100,386.72,30202832.0,Martinez Ltd,Euronext,AUD,Dark Pool,38674.11,Cancelled,North America,Enterprise,Trade Transaction,Trade Data
TRD100064,TRDR2219,2025-04-15 03:34:45,ETF,ETF405,Sell,57249,367.78,21055037.22,Miller LLC,HKEX,GBP,Algorithmic,25635.61,Pending,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100065,TRDR8138,2025-08-13 00:03:08,Bond,BON780,Buy,91545,794.65,72746234.25,Rice-Ferguson,NASDAQ,CNY,Algorithmic,-30650.9,Failed,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100066,TRDR7252,2025-06-03 03:16:41,Futures,FUT528,Buy,62250,955.15,59458087.5,Martinez Ltd,LSE,AUD,Dark Pool,53968.18,Failed,South America,Enterprise,Trade Transaction,Trade Data
TRD100067,TRDR1271,2024-11-24 07:51:08,Bond,BON485,Sell,39370,1524.18,60006966.6,Weber-French,SSE,EUR,Manual,70599.52,Failed,North America,Enterprise,Trade Transaction,Trade Data
TRD100068,TRDR9059,2025-09-12 17:21:50,ETF,ETF703,Sell,404,1759.7,710918.8,Shepherd LLC,NASDAQ,GBP,Algorithmic,65160.54,Cancelled,North America,Enterprise,Trade Transaction,Trade Data
TRD100069,TRDR1119,2024-12-19 12:30:21,Futures,FUT611,Sell,99555,184.13,18331062.15,Howell-Watson,JPX,AUD,Electronic Platform,-23866.13,Settled,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100070,TRDR3723,2024-11-16 09:44:43,Derivative,DER791,Buy,26071,619.14,16141598.94,Morris Ltd,JPX,JPY,Manual,61370.5,Failed,North America,Enterprise,Trade Transaction,Trade Data
TRD100071,TRDR6375,2024-10-27 16:19:32,Commodity,COM704,Buy,26502,1206.22,31967242.44,Kelley LLC,NASDAQ,CNY,Manual,-48499.72,Cancelled,Europe,Enterprise,Trade Transaction,Trade Data
TRD100072,TRDR7140,2024-10-23 18:18:51,Futures,FUT567,Sell,64010,1400.33,89635123.3,Floyd-Marshall,HKEX,INR,Manual,83751.67,Failed,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100073,TRDR4747,2025-06-16 01:54:47,ETF,ETF416,Sell,1952,595.2,1161830.4,"Brooks, Molina and Eaton",LSE,AUD,Electronic Platform,99843.67,Cancelled,South America,Enterprise,Trade Transaction,Trade Data
TRD100074,TRDR1721,2024-11-08 20:14:24,Commodity,COM497,Sell,53233,347.4,18493144.2,"Hunt, Leon and Craig",HKEX,USD,Algorithmic,48061.92,Pending,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100075,TRDR2828,2025-09-25 11:28:32,Futures,FUT921,Sell,64741,1930.27,124967610.07,Scott-Howard,NASDAQ,USD,Manual,57827.46,Cancelled,North America,Enterprise,Trade Transaction,Trade Data
TRD100076,TRDR8434,2025-02-16 02:28:53,Futures,FUT566,Buy,34903,1072.36,37428581.08,Gardner Ltd,HKEX,JPY,Electronic Platform,42055.2,Cancelled,South America,Enterprise,Trade Transaction,Trade Data
TRD100077,TRDR4598,2025-05-27 16:36:13,ETF,ETF745,Buy,5957,921.47,5489196.79,Solis-Price,Euronext,INR,Algorithmic,-277.06,Settled,North America,Enterprise,Trade Transaction,Trade Data
TRD100078,TRDR3437,2025-04-10 12:56:21,Stock,STO383,Buy,60904,1231.14,74981350.56,Howard Ltd,TSX,CNY,Manual,32696.69,Settled,North America,Enterprise,Trade Transaction,Trade Data
TRD100079,TRDR6587,2025-06-07 04:20:29,Bond,BON849,Buy,23872,1986.06,47411224.32,Shepherd LLC,TSX,GBP,Electronic Platform,14812.89,Settled,South America,Enterprise,Trade Transaction,Trade Data
TRD100080,TRDR3049,2024-12-22 12:27:45,Bond,BON102,Sell,215,1486.04,319498.6,Morris Ltd,SSE,AUD,Manual,-5925.66,Cancelled,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100081,TRDR6984,2025-01-26 02:49:03,Stock,STO457,Sell,20246,1292.26,26163095.96,"Lawrence, Martin and Ball",HKEX,CNY,Electronic Platform,73961.74,Pending,Europe,Enterprise,Trade Transaction,Trade Data
TRD100082,TRDR8230,2025-09-24 08:45:42,Commodity,COM111,Buy,10864,995.84,10818805.76,Abbott Inc,NYSE,GBP,Algorithmic,14919.86,Pending,South America,Enterprise,Trade Transaction,Trade Data
TRD100083,TRDR4223,2025-09-13 09:02:45,FX,FX102,Sell,4130,1035.98,4278597.4,Abbott Inc,TSX,INR,Manual,34504.65,Failed,Europe,Enterprise,Trade Transaction,Trade Data
TRD100084,TRDR4023,2025-08-17 10:56:03,ETF,ETF759,Buy,72139,809.61,58404455.79,Alvarez Ltd,NASDAQ,JPY,Electronic Platform,32019.78,Failed,Europe,Enterprise,Trade Transaction,Trade Data
TRD100085,TRDR8575,2025-09-17 20:13:13,Bond,BON972,Sell,16730,157.86,2640997.8,Rodriguez-Garcia,HKEX,USD,Electronic Platform,-37086.71,Settled,Europe,Enterprise,Trade Transaction,Trade Data
TRD100086,TRDR9107,2025-06-05 05:55:51,Derivative,DER739,Buy,75638,1151.57,87102451.66,Stevens-Hernandez,NYSE,AUD,Dark Pool,47469.89,Cancelled,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100087,TRDR3300,2025-10-10 23:03:46,Stock,STO647,Sell,77626,786.82,61077689.32,Jones-Murphy,Euronext,JPY,Dark Pool,21489.69,Failed,North America,Enterprise,Trade Transaction,Trade Data
TRD100088,TRDR9831,2025-01-10 15:20:37,Futures,FUT586,Buy,5774,1825.4,10539859.6,"Lawrence, Martin and Ball",TSX,CNY,Dark Pool,20466.15,Settled,Europe,Enterprise,Trade Transaction,Trade Data
TRD100089,TRDR4493,2024-12-16 10:18:02,Commodity,COM589,Buy,13401,281.94,3778277.94,Barber-Wilson,NASDAQ,GBP,Algorithmic,18787.89,Pending,Europe,Enterprise,Trade Transaction,Trade Data
TRD100090,TRDR6916,2025-01-13 08:58:55,Stock,STO634,Sell,79205,1836.98,145498000.9,Gardner Ltd,NYSE,EUR,Electronic Platform,81307.79,Cancelled,South America,Enterprise,Trade Transaction,Trade Data
TRD100091,TRDR2417,2025-06-03 12:44:12,Options,OPT674,Sell,94101,206.58,19439384.58,Floyd-Marshall,Euronext,CNY,Manual,-16732.95,Cancelled,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100092,TRDR1979,2025-06-19 01:54:29,Bond,BON800,Buy,16248,1829.22,29721166.56,Pennington-Estrada,JPX,JPY,Electronic Platform,97803.58,Cancelled,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100093,TRDR8504,2025-03-18 21:59:45,Options,OPT274,Sell,5068,1724.15,8737992.2,Hill Ltd,LSE,GBP,Algorithmic,-3285.91,Pending,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100094,TRDR7064,2025-03-12 08:54:49,Options,OPT197,Buy,37358,1761.47,65804996.26,Miller LLC,Euronext,JPY,Algorithmic,62472.63,Failed,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100095,TRDR6743,2025-08-17 18:07:23,Stock,STO305,Buy,88293,541.0,47766513.0,Alvarez Ltd,TSX,JPY,Electronic Platform,-29279.89,Failed,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100096,TRDR8549,2025-02-02 03:44:48,ETF,ETF951,Buy,19562,1543.89,30201576.18,Silva Inc,NYSE,USD,Dark Pool,-1086.86,Cancelled,North America,Enterprise,Trade Transaction,Trade Data
TRD100097,TRDR8783,2025-04-11 17:07:01,Options,OPT841,Sell,21497,1073.73,23081973.81,Abbott Inc,TSX,INR,Dark Pool,97213.29,Settled,South America,Enterprise,Trade Transaction,Trade Data
TRD100098,TRDR1067,2025-10-04 08:40:50,Options,OPT558,Buy,68301,1531.81,104624154.81,Kelley LLC,JPX,JPY,Dark Pool,25902.02,Failed,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100099,TRDR1845,2025-03-21 00:03:02,Bond,BON434,Sell,27696,852.65,23614994.4,Rice-Ferguson,LSE,JPY,Dark Pool,77677.44,Failed,North America,Enterprise,Trade Transaction,Trade Data
TRD100100,TRDR1761,2025-10-06 13:17:52,Futures,FUT240,Buy,37284,1739.76,64865211.84,Holland-Berg,SSE,USD,Electronic Platform,89074.94,Failed,South America,Enterprise,Trade Transaction,Trade Data
TRD100101,TRDR8462,2024-11-26 01:36:43,Bond,BON184,Sell,10213,894.19,9132362.47,Colon-Smith,HKEX,GBP,Electronic Platform,-12966.95,Settled,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100102,TRDR4801,2025-08-09 00:00:37,Options,OPT739,Buy,29637,1362.36,40376263.32,Hall LLC,JPX,USD,Electronic Platform,66559.9,Failed,Europe,Enterprise,Trade Transaction,Trade Data
TRD100103,TRDR2665,2025-03-13 04:48:18,Commodity,COM377,Buy,25916,685.33,17761012.28,Frey LLC,HKEX,JPY,Dark Pool,90839.83,Cancelled,South America,Enterprise,Trade Transaction,Trade Data
TRD100104,TRDR2470,2024-12-08 10:06:11,Bond,BON974,Buy,63589,361.89,23012223.21,"Brooks, Molina and Eaton",HKEX,USD,Algorithmic,32192.2,Settled,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100105,TRDR1854,2025-09-20 20:17:41,Stock,STO574,Buy,28033,693.82,19449856.06,"Reed, Garcia and Sanchez",NASDAQ,CNY,Electronic Platform,-16969.56,Settled,South America,Enterprise,Trade Transaction,Trade Data
TRD100106,TRDR5833,2025-07-07 07:53:52,Commodity,COM261,Buy,69328,1838.08,127430410.24,Taylor and Sons,NASDAQ,AUD,Electronic Platform,20079.45,Pending,Europe,Enterprise,Trade Transaction,Trade Data
TRD100107,TRDR7665,2025-01-02 19:56:42,Stock,STO885,Buy,64378,188.11,12110145.58,"Brooks, Molina and Eaton",LSE,USD,Electronic Platform,61826.64,Failed,North America,Enterprise,Trade Transaction,Trade Data
TRD100108,TRDR2583,2025-08-25 10:09:41,ETF,ETF898,Sell,43311,1622.47,70270798.17,"Ayers, Barker and Hill",Euronext,AUD,Dark Pool,-1562.82,Pending,South America,Enterprise,Trade Transaction,Trade Data
TRD100109,TRDR1546,2025-03-13 15:34:15,Bond,BON864,Buy,21043,330.66,6958078.38,Smith-Wallace,NASDAQ,USD,Manual,5187.0,Cancelled,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100110,TRDR5832,2024-10-27 21:42:09,Derivative,DER690,Sell,16097,381.87,6146961.39,Cross PLC,JPX,USD,Manual,44418.1,Pending,South America,Enterprise,Trade Transaction,Trade Data
TRD100111,TRDR6876,2025-01-23 17:40:00,Bond,BON801,Sell,12588,25.47,320616.36,Silva Inc,HKEX,USD,Dark Pool,7054.74,Settled,North America,Enterprise,Trade Transaction,Trade Data
TRD100112,TRDR7033,2025-03-21 17:24:43,Stock,STO725,Sell,88672,726.03,64378532.16,Young PLC,Euronext,USD,Electronic Platform,42530.54,Pending,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100113,TRDR7964,2025-10-12 09:38:21,FX,FX731,Sell,73359,742.61,54477126.99,West PLC,LSE,GBP,Algorithmic,32350.91,Pending,Europe,Enterprise,Trade Transaction,Trade Data
TRD100114,TRDR6925,2025-02-02 12:02:09,Bond,BON109,Sell,60097,874.55,52557831.35,"Humphrey, Powers and Garcia",JPX,INR,Algorithmic,13582.19,Pending,Europe,Enterprise,Trade Transaction,Trade Data
TRD100115,TRDR5849,2025-04-12 15:13:46,FX,FX610,Sell,10788,243.51,2626985.88,Shepherd LLC,TSX,EUR,Electronic Platform,65283.35,Pending,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
TRD100116,TRDR6054,2024-10-21 19:10:36,Stock,STO995,Buy,72092,1258.25,90709759.0,Wong-Anderson,NYSE,AUD,Manual,75482.24,Settled,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100117,TRDR3884,2025-03-01 05:47:57,ETF,ETF919,Sell,15563,1822.69,28366524.47,Williams Ltd,HKEX,CNY,Electronic Platform,82266.18,Cancelled,Europe,Enterprise,Trade Transaction,Trade Data
TRD100118,TRDR4246,2025-01-02 01:12:30,Options,OPT110,Sell,81741,150.76,12323273.16,Gutierrez-Monroe,SSE,JPY,Electronic Platform,-37930.99,Cancelled,North America,Enterprise,Trade Transaction,Trade Data
TRD100119,TRDR3158,2024-10-20 05:34:09,ETF,ETF150,Buy,67936,1711.26,116256159.36,Gutierrez-Monroe,NYSE,INR,Algorithmic,8410.17,Pending,North America,Enterprise,Trade Transaction,Trade Data
TRD100120,TRDR1333,2025-03-15 07:30:38,Derivative,DER148,Sell,57409,1985.54,113987865.86,Shepherd LLC,LSE,EUR,Dark Pool,-8535.6,Cancelled,Europe,Enterprise,Trade Transaction,Trade Data
TRD100121,TRDR1131,2025-02-18 11:19:43,Commodity,COM563,Buy,64408,1807.48,116416171.84,Poole-Acosta,JPX,AUD,Algorithmic,-10026.87,Pending,Europe,Enterprise,Trade Transaction,Trade Data
TRD100122,TRDR3815,2025-04-04 17:55:56,Bond,BON495,Sell,15320,585.54,8970472.8,Alvarez Ltd,SSE,CNY,Manual,-24667.84,Settled,Middle East,Enterprise,Trade Transaction,Trade Data
TRD100123,TRDR6417,2025-10-08 20:02:28,Bond,BON743,Buy,41975,1720.47,72216728.25,Silva Inc,Euronext,JPY,Manual,-28632.18,Settled,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
