application_id,organization_id,organization_name,industry_sector,region,application_date,loan_amount_requested_usd,loan_amount_approved_usd,loan_purpose,tenure_years,interest_rate_percent,collateral_value_usd,credit_score,risk_category,financial_health_score,annual_revenue_usd,net_profit_margin_percent,decision_status,relationship_manager_id,value_domain,data_segment,data_domain
APP100019,ORG27846,"Bishop, Tyler and Jackson",Real Estate,Central,2024-10-22,40176826.39,35566289.29094602,Infrastructure Development,10,12.13,57628215.5,884,Low,4.8,65101069.96,32.42,Pending,RM8446,Risk,Origination Data,Origination Data
APP100020,ORG20654,"Fletcher, Foster and Davis",Telecommunications,South,2023-10-21,47064987.01,38596963.24383316,Debt Refinancing,1,6.81,36269778.68,681,Medium,2.3,84533491.91,37.23,Approved,RM4070,Risk,Origination Data,Origination Data
APP100021,ORG21567,"Greene, Williams and Byrd",IT Services,North,2024-03-06,43017378.32,37134793.55581616,Debt Refinancing,5,4.96,57117843.2,841,Low,1.75,9622810.03,26.16,Pending,RM3301,Risk,Origination Data,Origination Data
APP100022,ORG26455,Landry Ltd,Manufacturing,Central,2024-04-10,16944109.73,11366423.741084779,Debt Refinancing,13,12.12,24918546.59,576,High,2.38,73107499.73,-2.07,Rejected,RM7802,Risk,Origination Data,Origination Data
APP100023,ORG24144,"Rice, Lopez and Butler",Construction,East,2025-05-31,35426054.16,31494476.878383387,R&D Investment,10,14.07,53035663.9,690,Medium,1.62,76962044.07,16.87,Pending,RM1346,Risk,Origination Data,Origination Data
APP100024,ORG28943,Martin and Sons,Finance,North,2024-11-21,40248979.49,28952989.978172548,Equipment Purchase,11,6.35,28824629.55,736,Medium,4.84,5270426.93,-6.95,Approved,RM2034,Risk,Origination Data,Origination Data
APP100025,ORG22281,"Salinas, Nguyen and Smith",Healthcare,Central,2024-04-30,17471786.72,12187461.18369851,Infrastructure Development,15,6.68,9927189.85,444,Critical,9.93,29280900.04,-3.18,Approved,RM8383,Risk,Origination Data,Origination Data
APP100026,ORG23807,Hooper LLC,Healthcare,Central,2024-04-30,27063449.49,19709337.690638848,Debt Refinancing,11,10.31,16133842.57,593,High,3.94,42306987.62,16.58,Rejected,RM6681,Risk,Origination Data,Origination Data
APP100027,ORG23168,"Evans, Lewis and Wilson",Hospitality,West,2025-08-05,44603978.27,37500721.523140006,Working Capital,14,13.43,50463666.8,822,Low,5.57,70792663.09,23.39,Pending,RM6033,Risk,Origination Data,Origination Data
APP100028,ORG23475,Jackson PLC,Healthcare,East,2025-10-04,22543351.95,16126458.736174725,Business Expansion,13,8.51,24410580.36,527,High,7.91,94942972.81,5.25,Rejected,RM8662,Risk,Origination Data,Origination Data
APP100029,ORG23068,Smith-Baker,Manufacturing,South,2025-04-28,32438743.85,20782105.671052087,Business Expansion,7,4.57,39042101.11,743,Medium,9.17,94302956.71,19.16,Pending,RM1618,Risk,Origination Data,Origination Data
APP100030,ORG21418,Peters Ltd,IT Services,South,2025-05-31,8850044.3,7458301.626774201,Business Expansion,9,6.15,6965381.6,740,Medium,8.04,53187966.84,-7.72,Pending,RM2115,Risk,Origination Data,Origination Data
APP100031,ORG20629,Miller Ltd,Healthcare,East,2025-06-23,3805157.34,2398766.0167332906,Debt Refinancing,10,9.65,4553402.67,359,Critical,4.19,2602209.52,28.08,Pending,RM5597,Risk,Origination Data,Origination Data
APP100032,ORG23534,Hoffman-King,Manufacturing,Central,2025-08-13,11355951.02,6969640.14272234,Debt Refinancing,11,10.62,7208233.43,327,Critical,1.33,8556267.26,13.64,Pending,RM4777,Risk,Origination Data,Origination Data
APP100033,ORG22746,Campbell-Moore,Construction,East,2024-12-22,43346103.92,35261863.73007341,Equipment Purchase,12,8.84,37236851.11,831,Low,4.89,8807144.5,-8.59,Approved,RM8340,Risk,Origination Data,Origination Data
APP100034,ORG28074,"Davis, Robinson and Shields",Finance,East,2025-08-05,33120337.7,25445709.605334956,Working Capital,7,9.5,19232204.65,710,Medium,4.47,60176202.73,-5.1,Pending,RM9931,Risk,Origination Data,Origination Data
APP100035,ORG24976,Kennedy-Mercado,Manufacturing,East,2024-04-14,25104060.55,17674759.832001776,R&D Investment,8,11.08,17344487.6,554,High,1.15,49351619.74,17.14,Pending,RM8581,Risk,Origination Data,Origination Data
APP100036,ORG28322,"Johnson, Hardy and Griffin",Hospitality,East,2025-03-15,17907618.84,0.0,Equipment Purchase,9,10.5,21561560.63,385,Critical,8.46,62547078.02,36.29,Rejected,RM5784,Risk,Origination Data,Origination Data
APP100037,ORG27211,"Deleon, Freeman and Clements",Healthcare,South,2025-05-02,48085806.66,29173933.420442123,Business Expansion,9,5.85,42633706.93,658,Medium,6.7,5955853.37,35.25,Approved,RM8501,Risk,Origination Data,Origination Data
APP100038,ORG27863,Singleton and Sons,Hospitality,North,2025-03-13,28015672.39,20807281.7035297,Debt Refinancing,4,13.43,22581039.41,876,Low,1.81,1638453.23,21.49,Rejected,RM9343,Risk,Origination Data,Origination Data
APP100039,ORG25126,Robertson-Hill,Construction,South,2024-05-19,14080035.47,11394091.092743764,Infrastructure Development,11,6.84,10949975.72,595,High,1.88,23437274.09,26.71,Rejected,RM1835,Risk,Origination Data,Origination Data
APP100040,ORG24976,Jackson Inc,Real Estate,North,2024-05-25,42368876.28,27026071.220361445,Business Expansion,7,10.82,30742742.66,883,Low,8.9,34764191.97,11.39,Rejected,RM2909,Risk,Origination Data,Origination Data
APP100041,ORG21006,Garcia Group,Retail,Central,2024-01-18,42965210.46,39590283.109186135,Debt Refinancing,8,6.12,37313527.12,701,Medium,6.89,7924952.71,24.19,Rejected,RM8376,Risk,Origination Data,Origination Data
APP100042,ORG21672,Mcdaniel LLC,Telecommunications,West,2024-10-10,13420382.92,8988771.140760943,Business Expansion,6,8.05,15236710.22,524,High,5.94,7254730.75,3.63,Approved,RM7380,Risk,Origination Data,Origination Data
APP100043,ORG26704,Henry and Sons,Hospitality,East,2024-04-24,37315628.64,33953301.8936311,Debt Refinancing,14,6.18,49794899.82,486,High,1.38,67658740.43,36.03,Rejected,RM3141,Risk,Origination Data,Origination Data
APP100044,ORG24566,"Leonard, Oconnor and Murray",Hospitality,South,2023-11-30,34909332.0,25655056.412697393,Business Expansion,3,9.52,32616401.19,649,Medium,9.34,65752183.01,20.85,Rejected,RM1887,Risk,Origination Data,Origination Data
APP100045,ORG26799,"Curry, Henderson and Lopez",Manufacturing,East,2024-11-11,11287692.93,10359188.571504494,Working Capital,13,8.27,9835056.41,808,Low,8.24,65492689.68,-2.59,Rejected,RM3818,Risk,Origination Data,Origination Data
APP100046,ORG24670,Johnson and Sons,Real Estate,West,2024-11-25,21102733.1,21081782.22804236,Business Expansion,2,9.8,22330977.96,768,Low,4.93,54888191.14,21.96,Pending,RM4854,Risk,Origination Data,Origination Data
APP100047,ORG26953,"Smith, White and Kramer",Retail,East,2025-03-28,21794301.19,20635514.125920735,Equipment Purchase,5,13.79,30868785.08,750,Medium,6.99,42381823.69,28.37,Rejected,RM7575,Risk,Origination Data,Origination Data
APP100048,ORG24412,Le Group,Retail,North,2024-08-13,35540855.64,27491724.80032823,R&D Investment,2,12.23,43539188.98,505,High,4.61,98736556.03,28.88,Rejected,RM9302,Risk,Origination Data,Origination Data
APP100049,ORG24049,Vasquez Group,IT Services,Central,2024-10-04,8683181.22,8011821.250862937,Equipment Purchase,2,10.0,11176639.44,679,Medium,6.66,80535061.63,1.83,Approved,RM1295,Risk,Origination Data,Origination Data
APP100050,ORG22003,Morgan-Miller,Real Estate,West,2025-01-06,46575490.98,35813848.87887169,Infrastructure Development,3,7.85,63309647.93,525,High,9.8,92195979.03,-9.28,Approved,RM9352,Risk,Origination Data,Origination Data
APP100051,ORG20509,Jones Ltd,Telecommunications,West,2025-01-07,22731270.21,15231486.183675582,Debt Refinancing,8,4.81,13828972.94,669,Medium,8.2,12771233.72,27.59,Rejected,RM4245,Risk,Origination Data,Origination Data
APP100052,ORG28655,Morrow-Hubbard,Healthcare,East,2024-08-25,31509135.97,21901272.836837642,Working Capital,14,5.43,38397414.13,834,Low,6.06,97911612.73,32.07,Pending,RM3064,Risk,Origination Data,Origination Data
APP100053,ORG26923,Miller Ltd,Transport,South,2024-07-20,5185120.73,4348330.347068101,Infrastructure Development,12,13.96,7722916.46,621,Medium,4.19,82848900.15,18.37,Approved,RM8693,Risk,Origination Data,Origination Data
APP100054,ORG20632,Johnson LLC,Manufacturing,North,2025-01-10,43835076.12,29654607.852754854,R&D Investment,8,9.73,29322387.49,894,Low,4.39,5669540.45,31.62,Rejected,RM5041,Risk,Origination Data,Origination Data
APP100055,ORG20671,Adams-Palmer,Telecommunications,Central,2025-07-27,16199505.88,9947787.08302574,Debt Refinancing,3,12.82,22942077.84,369,Critical,7.02,27561437.06,-0.61,Approved,RM6175,Risk,Origination Data,Origination Data
APP100056,ORG29961,"Cohen, Barker and Romero",Telecommunications,Central,2024-12-02,9648014.41,8191117.439320795,Infrastructure Development,4,5.23,12928308.96,486,High,9.45,58348191.66,-3.58,Approved,RM1788,Risk,Origination Data,Origination Data
APP100057,ORG26167,Gonzales-Freeman,Telecommunications,South,2025-08-24,5908136.07,0.0,Infrastructure Development,11,12.49,5379501.94,542,High,1.73,46700250.57,39.55,Rejected,RM2450,Risk,Origination Data,Origination Data
APP100058,ORG22175,Lee LLC,Transport,East,2024-05-18,8204807.47,5531091.388172392,Equipment Purchase,15,6.18,5899289.6,372,Critical,9.99,98613042.13,3.18,Rejected,RM1944,Risk,Origination Data,Origination Data
APP100059,ORG23892,Jordan Ltd,Hospitality,East,2024-12-05,7232724.01,4807334.924442366,R&D Investment,11,5.73,7728398.51,792,Low,8.46,91169019.63,1.27,Rejected,RM7643,Risk,Origination Data,Origination Data
APP100060,ORG22438,"Scott, Murphy and Shelton",Finance,East,2024-10-04,28671727.43,23187210.72918772,Business Expansion,13,12.55,35741231.92,544,High,7.14,31052919.28,13.71,Approved,RM2300,Risk,Origination Data,Origination Data
APP100061,ORG27837,"Obrien, Wilcox and Gill",Telecommunications,Central,2025-01-15,27873688.32,26830024.132302243,Business Expansion,12,12.33,30231970.44,608,Medium,8.59,53331099.52,6.4,Approved,RM3432,Risk,Origination Data,Origination Data
APP100062,ORG29067,Vaughn Ltd,Hospitality,East,2025-07-24,17219167.67,12111984.164768305,Infrastructure Development,6,13.85,13985278.51,552,High,8.69,66146599.77,1.27,Pending,RM2626,Risk,Origination Data,Origination Data
APP100063,ORG29853,"Roberts, Martin and Martin",Finance,West,2024-07-25,22088179.04,21729773.395297367,Infrastructure Development,12,14.03,14026150.54,686,Medium,7.95,22857637.55,-3.35,Approved,RM7517,Risk,Origination Data,Origination Data
APP100064,ORG27307,Reid-Ramos,Manufacturing,West,2025-07-16,36615728.92,36286969.979516424,Infrastructure Development,7,13.92,41303241.86,735,Medium,2.18,61991884.24,15.04,Approved,RM3186,Risk,Origination Data,Origination Data
APP100065,ORG29279,"Lynn, Jennings and Butler",Healthcare,Central,2024-12-05,20339015.64,19015949.341226015,Business Expansion,14,4.54,10284617.66,517,High,2.39,54733766.85,29.88,Rejected,RM7077,Risk,Origination Data,Origination Data
APP100066,ORG24128,Jones Group,Finance,South,2023-12-02,7052511.86,6438853.123055281,Working Capital,6,14.32,6066522.5,534,High,8.74,38646595.1,38.03,Pending,RM9381,Risk,Origination Data,Origination Data
APP100067,ORG29253,Roberts and Sons,Healthcare,West,2024-07-21,3468857.32,2875931.570978983,R&D Investment,3,8.42,4192477.54,554,High,2.56,2391853.83,31.34,Approved,RM5699,Risk,Origination Data,Origination Data
APP100068,ORG28438,Daniels LLC,Telecommunications,South,2024-01-09,47557617.07,29880167.91969808,Business Expansion,6,11.29,61585798.72,336,Critical,9.22,44558584.59,27.17,Pending,RM9201,Risk,Origination Data,Origination Data
APP100069,ORG25235,"Swanson, Townsend and Burch",Retail,South,2025-06-19,48056949.06,36611655.739017084,Working Capital,4,13.25,31416000.96,403,Critical,6.89,78369283.61,2.71,Rejected,RM4422,Risk,Origination Data,Origination Data
APP100070,ORG20662,Welch-Mccarty,Hospitality,West,2025-06-06,17294110.21,11365278.331919724,Debt Refinancing,11,8.28,18599021.07,301,Critical,8.15,55608587.73,23.01,Pending,RM2882,Risk,Origination Data,Origination Data
APP100071,ORG25908,"Green, Jenkins and Acosta",IT Services,South,2025-05-24,13154820.61,10585099.082964983,Business Expansion,14,6.24,9023586.12,653,Medium,9.07,23297790.96,23.21,Rejected,RM7422,Risk,Origination Data,Origination Data
APP100072,ORG25317,Kent Inc,Healthcare,Central,2024-05-19,10099516.88,8594878.447832458,Debt Refinancing,14,8.62,7768248.08,349,Critical,6.01,85299401.17,-0.41,Pending,RM8602,Risk,Origination Data,Origination Data
APP100073,ORG25149,"Bruce, Tucker and Stone",Hospitality,West,2025-03-28,19897194.53,19764984.005202137,Equipment Purchase,7,5.07,29387755.25,793,Low,4.79,66402679.71,-3.17,Pending,RM9311,Risk,Origination Data,Origination Data
APP100074,ORG20538,"Powell, Mcintosh and Brown",Telecommunications,West,2024-11-07,33453994.88,29136275.201186273,Infrastructure Development,12,4.98,31915945.28,643,Medium,7.35,6794998.5,13.72,Rejected,RM3791,Risk,Origination Data,Origination Data
APP100075,ORG27909,Gomez PLC,Manufacturing,Central,2024-07-14,20890530.05,14955658.209155193,R&D Investment,12,7.0,25002872.66,320,Critical,2.8,37198473.07,-7.27,Rejected,RM2934,Risk,Origination Data,Origination Data
APP100076,ORG28730,"Thomas, Smith and Ortega",Retail,West,2023-10-26,22917305.72,20906435.95421109,Working Capital,2,6.88,24979740.2,872,Low,5.2,60443751.82,28.86,Rejected,RM4660,Risk,Origination Data,Origination Data
APP100077,ORG25462,Jones and Sons,Healthcare,Central,2024-12-25,24507084.03,0.0,Working Capital,9,7.96,13560861.91,514,High,9.94,66163510.85,37.07,Pending,RM9313,Risk,Origination Data,Origination Data
APP100078,ORG25150,"Fritz, Carroll and James",Healthcare,West,2025-07-11,32708124.3,22278154.47071218,Infrastructure Development,10,6.44,30516984.29,796,Low,9.39,37602900.42,-4.12,Rejected,RM2280,Risk,Origination Data,Origination Data
APP100079,ORG20893,Dixon-Gutierrez,Manufacturing,East,2025-08-01,14045303.88,8848189.889976615,R&D Investment,14,11.34,11867764.91,886,Low,6.53,28976376.62,27.88,Pending,RM9427,Risk,Origination Data,Origination Data
APP100080,ORG25677,"Mathis, Marshall and Richardson",Manufacturing,West,2025-09-29,13635216.57,10902713.682074677,Infrastructure Development,6,12.45,13337690.41,762,Low,1.92,15047111.48,11.23,Rejected,RM5167,Risk,Origination Data,Origination Data
APP100081,ORG27772,Washington Ltd,Manufacturing,South,2024-02-01,3534680.15,0.0,R&D Investment,2,11.63,3624921.89,419,Critical,8.52,41419644.28,-3.21,Rejected,RM8088,Risk,Origination Data,Origination Data
APP100082,ORG21392,"Day, Gonzales and Blackwell",Construction,East,2025-04-17,8218745.42,6532715.918170915,Business Expansion,13,9.13,7876732.37,601,Medium,9.87,77487966.18,-5.1,Pending,RM5936,Risk,Origination Data,Origination Data
APP100083,ORG25751,"Murphy, Melendez and Villa",Manufacturing,North,2024-07-17,40668365.55,34259131.476291575,R&D Investment,13,11.91,60402188.37,434,Critical,7.17,61209073.41,31.43,Pending,RM5119,Risk,Origination Data,Origination Data
APP100084,ORG28832,Dillon and Sons,Healthcare,East,2023-11-10,24126101.29,16902445.05551662,Business Expansion,8,8.68,32883340.87,795,Low,1.89,30381401.27,6.14,Approved,RM5892,Risk,Origination Data,Origination Data
APP100085,ORG21720,Smith Group,Healthcare,East,2023-12-08,24762420.89,24338121.62870391,R&D Investment,10,12.99,18636216.38,386,Critical,7.4,45254935.5,8.89,Approved,RM5168,Risk,Origination Data,Origination Data
APP100086,ORG21070,Hendricks-Maxwell,Finance,East,2024-01-06,47908656.9,0.0,R&D Investment,10,7.43,69849240.54,455,High,5.86,99212876.68,10.68,Rejected,RM1298,Risk,Origination Data,Origination Data
APP100087,ORG26944,Wilson-Dunn,Healthcare,North,2025-05-15,25388703.52,24606029.05269025,R&D Investment,1,10.66,24971683.66,531,High,8.36,56458699.47,26.5,Pending,RM9317,Risk,Origination Data,Origination Data
APP100088,ORG28079,Alexander and Sons,Manufacturing,Central,2024-07-22,21704676.3,16771347.224669646,Equipment Purchase,7,7.72,15339386.31,538,High,8.52,6677694.64,6.29,Rejected,RM2395,Risk,Origination Data,Origination Data
APP100089,ORG23771,Maynard LLC,Retail,East,2025-09-06,1603237.14,0.0,Working Capital,1,12.6,1230297.38,618,Medium,9.31,89280393.49,0.38,Approved,RM4765,Risk,Origination Data,Origination Data
APP100090,ORG20400,"Ford, Jenkins and Jones",IT Services,East,2025-10-02,19886274.71,18644332.460779853,R&D Investment,1,9.48,25051021.42,538,High,9.13,9373409.01,1.9,Approved,RM4244,Risk,Origination Data,Origination Data
APP100091,ORG27979,Hines-Armstrong,Hospitality,East,2023-11-05,13747645.61,9091018.966551935,R&D Investment,3,4.97,20451783.52,417,Critical,7.29,93921127.96,-8.42,Rejected,RM5253,Risk,Origination Data,Origination Data
APP100092,ORG23717,Simmons Inc,Retail,North,2023-10-30,37946069.29,30825006.382515322,Working Capital,11,5.75,55124405.91,607,Medium,5.99,94400676.19,15.45,Pending,RM4925,Risk,Origination Data,Origination Data
APP100093,ORG20726,Manning-Wolf,Finance,East,2024-07-16,20046114.02,13048467.761227308,Debt Refinancing,2,12.85,18571061.93,683,Medium,8.63,84017249.73,-1.7,Pending,RM9412,Risk,Origination Data,Origination Data
APP100094,ORG21337,"Lopez, Robinson and Patton",Telecommunications,South,2025-05-10,3449511.11,2323008.59988197,R&D Investment,7,12.17,4243277.67,888,Low,5.18,89543620.65,27.88,Approved,RM8791,Risk,Origination Data,Origination Data
APP100095,ORG28933,"Jones, Lindsey and Beck",Hospitality,North,2025-07-01,33569363.1,0.0,Debt Refinancing,13,10.54,37272549.46,686,Medium,8.25,91970702.81,21.68,Rejected,RM4070,Risk,Origination Data,Origination Data
APP100096,ORG26559,"Mejia, Johnson and Herring",IT Services,Central,2023-12-31,40220178.72,32673608.879102066,Working Capital,5,6.44,50695217.72,791,Low,5.75,61216183.68,-2.08,Approved,RM1973,Risk,Origination Data,Origination Data
APP100097,ORG29763,"Golden, Singh and Hayes",Healthcare,North,2024-09-22,27514478.67,18292360.07948612,Debt Refinancing,5,10.63,14472600.24,385,Critical,4.37,95476257.16,26.56,Approved,RM3237,Risk,Origination Data,Origination Data
APP100098,ORG24429,Allen-Mathews,Hospitality,North,2025-03-27,14039004.37,12955410.748399498,R&D Investment,8,12.34,8721631.82,718,Medium,6.93,36716298.09,-7.67,Approved,RM2092,Risk,Origination Data,Origination Data
APP100099,ORG23632,Webb and Sons,Real Estate,South,2025-06-24,23684979.3,18278091.478889976,Equipment Purchase,5,13.94,29101947.57,313,Critical,2.09,75289464.78,15.59,Approved,RM9270,Risk,Origination Data,Origination Data
APP100100,ORG21672,Middleton LLC,Hospitality,West,2024-01-28,18440294.08,11730102.644189324,Business Expansion,10,8.6,12593727.64,682,Medium,6.73,73813850.66,29.41,Approved,RM8570,Risk,Origination Data,Origination Data
APP100101,ORG20739,Dyer Group,Transport,East,2024-09-25,6366568.58,3964744.546770469,Working Capital,10,4.91,7757342.55,504,High,1.96,77412049.47,19.89,Pending,RM3332,Risk,Origination Data,Origination Data
APP100102,ORG25333,Ferguson Ltd,Transport,South,2024-12-13,32452940.83,25278442.812916137,Business Expansion,9,14.32,19594341.52,462,High,4.07,84016942.66,4.63,Pending,RM9273,Risk,Origination Data,Origination Data
APP100103,ORG26636,Hobbs-Sharp,Retail,North,2024-02-19,18635427.36,15699374.492373448,Business Expansion,8,8.91,23593599.32,852,Low,6.98,27577394.98,8.32,Approved,RM5177,Risk,Origination Data,Origination Data
APP100104,ORG23239,Curtis Ltd,Transport,South,2024-10-22,29066161.5,26757985.366480254,Business Expansion,13,14.45,21667479.83,721,Medium,9.36,39280031.21,31.51,Pending,RM5043,Risk,Origination Data,Origination Data
APP100105,ORG26168,"Munoz, Cummings and Johnson",Transport,North,2025-08-16,29523967.8,27884094.50814288,Debt Refinancing,1,7.89,15989280.59,811,Low,2.32,98596416.16,25.7,Pending,RM1356,Risk,Origination Data,Origination Data
APP100106,ORG28066,Gallagher-Oneal,IT Services,West,2023-12-13,23525120.43,18394547.902667552,R&D Investment,12,9.94,19635307.71,573,High,1.48,75033463.64,8.25,Pending,RM5130,Risk,Origination Data,Origination Data
APP100107,ORG23122,Hall Group,Healthcare,Central,2024-09-01,25224424.56,20714139.628862128,Infrastructure Development,12,10.7,35683189.92,647,Medium,7.94,76484162.93,28.21,Pending,RM3558,Risk,Origination Data,Origination Data
APP100108,ORG20581,"Lee, Perez and Hernandez",IT Services,East,2024-06-03,22710721.22,17880313.7562629,Equipment Purchase,6,13.37,30052070.11,483,High,7.22,84556107.92,33.57,Approved,RM4151,Risk,Origination Data,Origination Data
APP100109,ORG28824,"Dawson, Schmidt and Harding",Construction,Central,2024-07-27,15659718.25,14594266.713457491,Infrastructure Development,4,11.27,14752452.0,793,Low,9.75,38947155.32,35.76,Approved,RM4592,Risk,Origination Data,Origination Data
APP100110,ORG26315,Ward and Sons,Manufacturing,West,2024-04-17,18577588.12,16865656.22851838,Working Capital,10,10.27,12355783.65,604,Medium,6.27,22907750.67,32.21,Pending,RM4396,Risk,Origination Data,Origination Data
APP100111,ORG27964,Mejia-Alexander,Hospitality,East,2024-03-19,33544490.14,30050865.248366695,Working Capital,10,10.21,24640144.28,833,Low,8.38,61537510.6,-7.26,Pending,RM6310,Risk,Origination Data,Origination Data
APP100112,ORG28269,"Patel, Baker and Wise",Hospitality,Central,2025-10-06,5556197.66,3607376.9767504446,R&D Investment,13,10.52,7920959.38,705,Medium,6.66,4795485.1,11.17,Pending,RM2899,Risk,Origination Data,Origination Data
APP100113,ORG21446,"Reyes, Harvey and Campos",Transport,South,2024-03-26,8206075.97,6103000.478758064,Working Capital,12,11.98,5063330.74,450,Critical,4.85,39361863.05,25.79,Approved,RM7349,Risk,Origination Data,Origination Data
APP100114,ORG22879,"Escobar, Soto and Williams",Retail,Central,2025-03-20,9027538.04,5493113.929023852,Business Expansion,9,5.88,6319054.59,615,Medium,6.28,32713685.25,17.23,Pending,RM1431,Risk,Origination Data,Origination Data
APP100115,ORG29200,Brown-Smith,Manufacturing,South,2024-07-31,46956065.16,37056805.74231205,Business Expansion,2,5.14,29669699.25,566,High,5.85,6654069.0,5.68,Approved,RM6872,Risk,Origination Data,Origination Data
APP100116,ORG29739,"English, Haley and Burke",Telecommunications,South,2024-12-25,19168921.75,13646617.355113577,R&D Investment,4,8.84,16004956.38,543,High,4.46,24532141.29,-1.82,Pending,RM6444,Risk,Origination Data,Origination Data
APP100117,ORG25389,Hoffman PLC,Retail,West,2024-06-12,9544518.72,0.0,Business Expansion,4,13.12,9719867.78,581,High,7.21,92042367.16,18.61,Rejected,RM8015,Risk,Origination Data,Origination Data
APP100118,ORG23235,Munoz PLC,IT Services,South,2024-08-09,40834163.61,38514425.31949803,Working Capital,12,13.2,38874833.59,650,Medium,5.91,71338849.66,-4.95,Approved,RM8131,Risk,Origination Data,Origination Data
